ID,Source,websites
0,Agencia Latinoamericana de Información,http://www.alainet.org/
1,Asociación Técnica de Diarios Latinoamericanos,http://www.atdl.org/
2,CANANEWS,http://www.cananews.net/
3,Information Services Latin America,http://isla.igc.org/
4,Latin American Newsletters,http://www.latinnews.com/
5,LatinAmerican Post,http://www.latinamericanpost.com/
6,Latinamerica Press,http://www.lapress.org/
7,Mercopress,http://en.mercopress.com/
8,Prensa Latina,http://www.prensa-latina.cu/
9,Pulsamerica,http://www.pulsamerica.co.uk/
10,Antigua  and Barbuda News,http://www.topix.net/world/antigua-and-barbuda/
11,Antigua Observer ,http://www.antiguaobserver.com/
12, Agencia Diarios y Noticias,http://www.dyn.com.ar/
13,Ambito Financiero,http://www.ambito.com/
14,Argenpress,http://www.argenpress.info/
15,Buenos Aires Herald,http://www.buenosairesherald.com/
16,Clarín,http://www.clarin.com/
17,CuyoNoticias,http://www.cuyonoticias.com/
18,Diario Castellanos,http://www.castellanos.com.ar/
19,Diario Crónica,http://www.diariocronica.com.ar/
20,Diario El Chubut,http://www.elchubut.com.ar/
21,Diario El Litoral,http://www.ellitoral.com/
22,Diario El Oeste,http://www.diarioeloeste.com.ar/
23,Diario Hoy,http://diariohoy.net/
24,Diario Jornada,http://www.diariojornada.com.ar/
25,Diario La Capital  de Mar del Plata,http://www.lacapitalnet.com.ar/
26,Diario La Opinión,http://www.laopinion-pergamino.com.ar/
27,Diario Pregón,http://www.pregon.com.ar/
28,Diario San Rafael,http://www.diariosanrafael.com.ar/
29,Diario Tiempo Sur Online,http://www.tiemposur.com.ar/
30,Ecos Diarios Digital,http://www.ecosdiarios.com
31,El Argentino,http://www.diarioelargentino.com.ar/
32,El Comercial,http://www.elcomercial.com.ar/
33,El  Cordillerano,http://www.elcordillerano.com.ar/
34,El Cronista,http://www.cronista.com/
35,El Día,http://www.eldia.com.ar
36,El Diario,http://www.eldiario.com.ar/
37,El Diario de La Pampa,http://www.eldiariodelapampa.com.ar/
38,El Diario de la República,http://www.eldiariodelarepublica.com/
39,El Diario del Fin del Mundo,http://www.eldiariodelfindelmundo.com/
40,El Heraldo,http://www.elheraldo.com.ar/
41,El Independiente,http://www.elindependiente.com.ar/
42,El Liberal,http://www.elliberal.com.ar/
43,El Santafesino,http://www.elcronistaregional.com.ar/
44,El Sureño,http://www.surenio.com.ar/
45,El Tribuno,http://www.eltribuno.info/
46,El Zonda,http://www.diarioelzonda.com.ar/
47,La Arena,http://www.laarena.com.ar/
48,InfoCañuelas,http://www.infocanuelas.com/
49,La Gaceta,http://www.lagaceta.com.ar/
50,La Nación,http://www.lanacion.com.ar/
51,La Opinión,http://www.diariolaopinion.com.ar/
52,La Razón,http://www.larazon.com.ar/
53,La Semana,http://www.lasemana.info/
54,La Voz,http://www.lavoz.com.ar/
55,LND Noticias,http://www.lndnoticias.com.ar/
56,Los Andes,http://www.losandes.com.ar/
57,Misiones Online - MOL,http://www.misionesonline.net/
58,Noticias Online.org,http://www.noticiasonline.org/
59,NuestroAgro,http://www.nuestroagro.com.ar/
60,Olé,http://www.ole.com.ar/
61,Página/12,http://www.pagina12.com.ar/
62,Periodismo.com,http://www.periodismo.com/
63,RegionNet,http://www.regionnet.com.ar/
64,Rio Negro,http://www.rionegro.com.ar/
65,RosarioNet,http://www.rosarionet.com.ar/
66,Télam,http://www.telam.com.ar/
67,Territorio Digital,http://www.territoriodigital.com/
68,Urgente24,http://www.urgente24.com/
69,Valor Local,http://www.valorlocal.com.ar/
70,Aruba Today,http://www.arubatoday.com/
71,Bon Dia Aruba,http://www.bondia.com/
72,Amigoe,http://amigoe.com/
73,Diario,http://www.diario.aw/
74,Telearuba,http://www.telearuba.aw/
75,The Abaconian,http://www.abaconian.com/
76,The Bahama Journal,http://www.jonesbahamas.com/
77,The Freeport News,http://freeport.nassauguardian.net/
78,The Nassau Guardian,http://www.thenassauguardian.com
79,Barbados Advocate,http://www.barbadosadvocate.com
80,Barbados Nation News,http://www.nationnews.com/
81,Ambergris Today,http://www.ambergristoday.com/
82,Belize Times,http://www.belizetimes.bz/
83,Belize News.com,http://belizenews.com/
84,The Guardian News Online,http://www.guardian.bz/
85,         San Pedro Daily,http://sanpedrodaily.com/
86,San Pedro Sun,http://www.sanpedrosun.com/
87,Agencia Boliviana de Información,http://www.abi.bo/
88,Bolivia.com,http://www.bolivia.com/
89,Bolpress,http://www.bolpress.com/
90,Correo del Sur,http://www.correodelsur.com/
91,El Deber,http://www.eldeber.com.bo/
92,El Mundo,http://www.elmundo.com.bo/
93,El Nuevo Día,http://www.eldia.com.bo/
94,El País,http://www.elpaisonline.com
95,El Potosí,http://www.elpotosi.net/
96,JornadaNet.com,http://www.jornadanet.com/
97,La Palabra del Beni,http://www.boliviabeni.com/LAPALABRA.htm
98,La Patria,http://www.lapatriaenlinea.com/
99,Los Tiempos,http://www.lostiempos.com
100,Noticias Bolivianas,http://www.noticiasbolivianas.com/
101,Opinión,http://www.opinion.com.bo/
102,Agência de Informação Frei Tito para a América Latina,http://adital.com.br/
103,Agência O Globo,http://www.agenciaoglobo.com.br/
104,BBC Brazil,http://www.bbc.co.uk/portuguese/
105,The Brazilian,http://www.thebrazilian.com/
106,Brazilian Press,http://www.brazilianpress.com/
107,Estadão,http://www.estadao.com.br/
108,Folha de São Paulo,http://www.folha.uol.com.br/
109,Jornal Do Brasil,http://www.jb.com.br/
110,Jornais de Hoje,http://www.jornaisdehoje.com.br/
111,Mídia Sem Máscara,http://www.midiasemmascara.org/
112, Caymanian Compass,http://www.compasscayman.com/
113,Caymen Net News,http://www.caymannetnews.com/
114, Cavancha,http://www.cavancha.cl/
115,El Ciudadano,http://www.elciudadano.cl/
116,Chasquis,http://www.chasquis.cl/
117,El Chileno,http://elchileno.cl/
118,La Cuarta Cibernética,http://www.lacuarta.com
119,Diario Estrategia,http://www.estrategia.cl/
120,La Discusión,http://www.diarioladiscusion.cl/
121,La Hora,http://www.lahora.cl/
122,El Llanquihue,http://www.diariollanquihue.cl/
123,El Mercurio,http://www.emol.com/
124,El Mercurio de Valparaíso,http://www.mercuriovalpo.cl/
125,El Mostrador,http://www.elmostrador.cl
126,La Prensa Austral,http://www.laprensaaustral.cl/
127,The Santiago Times,http://www.santiagotimes.cl/
128,El Siglo,http://www.elsiglo.cl/
129,La Segunda,http://www.lasegunda.com/
130,El Sur,http://www.elsur.cl/
131,La Tercera,http://www.latercera.com/
132,La Voz de Arauco,http://www.lavozdearauco.cl/
133,Diario de Huila,http://www.diariodelhuila.com/
134,El Colombiano,http://www.elcolombiano.com/
135,El Diario del  Otún,http://www.eldiario.com.co/
136,El Espectador,http://www.elespectador.com/
137,El Nuevo Siglo,http://www.elnuevosiglo.com.co/
138, El País,http://www.elpais.com.co/
139,El Tiempo,http://www.eltiempo.com/
140,El Universal,http://www.eluniversal.com.co/v2/cartagena/sucesos
141,La Libertad,http://www.lalibertad.com.co/
142, La Opinión,http://www.laopinion.com.co
143, La República,http://www.larepublica.com.co
144, La Tarde,http://www.latarde.com/
145,Portafolio,http://www.portafolio.co/
146,Vanguardia Liberal,http://www.vanguardia.com/
147,A.M. Costa Rica,http://www.amcostarica.com/
148,Al Día,http://www.aldia.co.cr/
149,Diario Extra,http://www.diarioextra.com/
150,Diario Oficial La Gaceta,http://www.gaceta.go.cr/gaceta/
151,informa-TICO,http://www.informa-tico.com/
152,El Financiero,http://www.elfinancierocr.com/
153,La Nacion,http://www.nacion.com/
154,La Prensa Libre,http://www.prensalibre.cr/
155,La República,http://www.larepublica.net/
156,Semanario Universidad,http://www.semanariouniversidad.ucr.cr/
157,The Tico Times,http://www.ticotimes.net/
158, 5 de Septiembre,http://www.5septiembre.cu
159,26 Digital,http://www.periodico26.cu
160,Adelante: Periódico Regional ,http://www.adelante.cu
161,Agencia Cubana de Noticias,http://www.ain.cu/
162,Ahora,http://www.ahora.cu
163,Cuba-L Direct,http://www.cuba-l.com/
164,CubaDebate,http://www.cubadebate.cu/
165,CubaNet,http://www.cubanet.org
166,La Demajagua,http://www.lademajagua.co.cu
167,Encuentro en la Red,http://www.cubaencuentro.com/
168,Escambray,http://www.escambray.cu/
169,Granma Internacional,http://www.granma.cu/
170,Invasor,http://www.invasor.cu/
171,Juventud Rebelde,http://www.juventudrebelde.cu
172,Martí Noticias,http://www.martinoticias.com/
173,Puente Informativo Cuba-Miami,http://www.puenteinfocubamiami.org/
174,Sierra Maestra,http://www.sierramaestra.cu
175,Trabajadores,http://www.trabajadores.cu/
176,Tribuna de la Habana,http://www.tribuna.co.cu/
177,Venceremos,http://www.venceremos.co.cu/
178,El Veraz,http://www.elveraz.com/
179, DBS Radio,http://www.dbcradio.net/
180,The Dominican,http://www.thedominican.net/
181,Kairi FM,http://kairifm.com/
182,El Caribe,http://www.elcaribe.com.do/
183, Diario @ Diario,http://www.diarioadiario.com/
184, Diario Digital RD,http://www.diariodigitalrd.com/
185,Diario Libre,http://www.diariolibre.com/
186,Hoy Digital,http://www.hoy.com.do/
187,Listín Diario,http://www.listin.com.do/
188,El Nacional,http://www.elnacional.com.do/
189,El Nuevo Diario,http://elnuevodiario.com.do/
190,Perspectiva Ciudadana.com,http://www.perspectivaciudadana.com/
191,RD Noticias,http://www.rdnoticias.com/
192,Revista Dominicana,http://www.redom.com/
193, El Viajero Digital,http://www.elviajero.com.do/
194, Centro de Medios Independientes Ecuador,http://ecuador.indymedia.org/
195,El Comercio,http://www.elcomercio.com/
196,El Diario Digital,http://www.eldiario.com.ec
197,El Expreso,http://www.diario-expreso.com/
198, El Mercurio,http://www.elmercurio-manta.com/
199, El Telégrafo,http://www.telegrafo.com.ec
200,El Universo,http://www.eluniverso.com/
201,Diario La Hora,http://www.lahora.com.ec/
202,Diario La Prensa,http://www.laprensa.com.ec/
203,Diario CoLatino,http://www.diariocolatino.com/
204,El Diario de Hoy,http://www.elsalvador.com/
205,Diario Oficial de El Salvador,http://www.imprentanacional.gob.sv/
206,El Faro,http://www.elfaro.net/
207,La Prensa Gráfica,http://www.laprensagrafica.com/
208,Spiceislander.com,http://www.spiceislander.com/
209,BondaManjak,http://www.bondamanjak.com/
210,Le Journal de St. Barth,http://www.st-barths.com/jsb/
211,    CERIGUA,http://cerigua.org/
212,    El Periódico,http://elperiodico.com.gt
213,Incidencia Democratica,http://www.i-dem.org/
214,    La Hora,http://lahora.gt/
215,    Notisiete,http://www.noti7.com.gt/
216,    Prensa Libre,http://www.prensalibre.com/
217,    Siglo XXI,http://www.s21.com.gt/
218,    Telediario,http://www.telediario.com.gt/
219,Government Information Agency,http://www.gina.gov.gy/
220,Guyana Chronicle,http://www.guyanachronicle.com/
221,Guyana Journal,http://www.guyanajournal.com/
222,Guyana News and Information,http://www.guyana.org/
223,Stabroek News,http://www.stabroeknews.com/
224, L'Agence Haïtenne de Presse,http://www.ahphaiti.org/
225, Alter Presse,http://www.alterpresse.org/
226,Dans la presse dominicaine,http://www.alterpresse.org/rubrique.php3?id_rubrique=14
227,Boston Haitian Reporter,http://www.bostonhaitian.com/
228,Groupe Médialternatif,http://www.medialternatif.org
229,Haïti en Marche,http://www.haitienmarche.com/
230,Haïti Info,http://www.haiti-info.com
231,Haïti-Progrès,http://www.haiti-progres.com/
232,Haitian Times,http://www.haitiantimes.com/
233,Diario Tiempo,http://www.tiempo.hn/
234,Hablemos claro,http://www.hablemosclaro.com/
235,Honduras Weekly,http://www.hondurasweekly.com/
236,La Prensa,http://www.laprensahn.com/
237,Proceso Digital,http://www.proceso.hn/
238,El Revistazo,http://www.revistazo.com/
239,La Tribuna,http://www.latribuna.hn/
240,Jamaica Gleaner,http://www.jamaica-gleaner.com/
241,Jamaica Observer,http://www.jamaicaobserver.com
242,Jamaica Star,http://www.jamaica-star.com/
243,Journal France-Antilles  Martinique,http://www.martinique.franceantilles.fr/
244,Mexico,/la/region/news/mexico/
245,Bolsa de Noticias,http://www.bolsadenoticias.com.ni/
246,Confidencial,http://www.confidencial.com.ni/
247,La Jornada,http://www.lajornadanet.com/
248,Trinchera de la Noticia,http://www.trincheraonline.com/
249,         Día a Día,http://www.diaadia.com.pa/
250,         El Siglo,http://www.elsiglo.com/
251,El Panama America,http://www.panamaamerica.com.pa/
252,La Crítica,http://www.critica.com.pa/
253,La Estrella,http://laestrella.com.pa/
254,Panamundo,http://www.panamundo.com/
255," 	The Panama News",http://www.thepanamanews.com/
256,         TodoSports,http://www.todosports.com/
257,Diario ABC Color,http://www.abc.com.py/
258,Diario Última Hora,http://www.ultimahora.com/
259,Neike,http://www.neike.com.py/
260,Coordinadora Nacional de  Radio,http://www.cnr.org.pe/
261, Andina - Agencia Peruana de Noticias,http://www.andina.com.pe/
262,Diario Correo,http://www.correoperu.com.pe/
263,Diario La Razón,http://www.larazon.com.pe/
264,Diario Oficial El Peruano,http://www.elperuano.com.pe/
265,El Bocón,http://www.elbocon.com.pe/
266,El Diario del Cusco,http://www.diariodelcusco.com/
267,Expreso,http://www.expreso.com.pe/
268, Generacción,http://www.generaccion.com/
269,La Encuesta,http://www.asesor.com.pe/laencuesta/
270,La Industria,http://www.laindustria.pe/
271, Libero,http://www.libero.com.pe/
272, Ojo,http://www.ojo.com.pe/
273," 	Periodismo en Línea",http://www.periodismoenlinea.com/
274, Peru.21,http://www.peru21.com/
275,Todo Sport,http://www.todosport.com.pe/
276,Claridad,http://www.claridadpuertorico.com/
277,La Esquina,http://www.laesquina.com/
278,El Nuevo Día Interactivo,http://www.endi.com/
279,Primera Hora,http://www.primerahora.com/
280,Puerto Rico Herald,http://www.puertorico-herald.org
281,The San Juan Star,http://www.thesanjuanstar.com/
282,El Vocero,http://www.vocero.com/
283,St. Kitts  Observer,http://www.thestkittsnevisobserver.com/
284,Radio Saint Lucia Limited,http://www.rslonline.com/
285,St. Lucia Online Radio,http://www.slucia.com/radio/
286,The Star,http://www.stluciastar.com/
287,Caribbean Compass,http://www.caribbeancompass.com/
288,Searchlight,http://www.searchlight.vc/
289,The Vincentian,http://www.thevincentian.com/
290,Dagblad Suriname,http://www.dbsuriname.com/
291,De Ware Tijd,http://www.dwtonline.com/
292,Catholic News,http://www.catholicnews-tt.net/
293,The Tobago  News,http://www.thetobagonews.com/
294,Trinidad Express Newspapers,http://www.trinidadexpress.com/
295,Trinidad Guardian,http://www.guardian.co.tt/
296,Trinidad Newsday,http://www.newsday.co.tt/
297,Turks & Caicos Sun,http://www.suntci.com/
298,Turks & Caicos Weekly  News,http://www.tcweeklynews.com/
299,Crónicas,http://www.cronicas.com.uy/
300,El Pueblo,http://www.diarioelpueblo.com.uy/
301,Espectador.com,http://www.espectador.com
302,Observa,http://www.observa.com.uy/
303,El Telégrafo Digital,http://www.eltelegrafo.com/
304,Tercer Mundo,http://www.redtercermundo.org.uy/
305,Ultimas Noticias,http://www.ultimasnoticias.com.uy/
306,St. Croix Source,http://stcroixsource.com/
307,St. John Source,http://stjohnsource.com/
308,St.Thomas Source,http://stthomassource.com/
309,St. Thomas This Week Magazine,http://www.stthomasthisweek.com/
310,Tradewinds,http://www.stjohntradewindsnews.com/
311,Virgin Islands Daily News,http://www.dailynews.vi/
312,11-abr,http://www.11abril.com/
313,Agencia Venezolana de Noticias,http://www.avn.info.ve/
314,Correo del Caroni,http://www.correodelcaroni.com/
315, Correo del  Orinoco,http://www.correodelorinoco.gob.ve/
316,Diario 2001,http://www.2001.com.ve/
317,Diario El Tiempo,http://www.diarioeltiempo.com.ve/
318,Diario La Voz,http://www.diariolavoz.net/
319,El Carabobeño,http://www.el-carabobeno.com/
320, El Impulso,http://www.elimpulso.com/
321, El Mundo,http://www.elmundo.com.ve/
322, El Norte,http://www.elnorte.com.ve/
323, El Periódiquito,http://www.elperiodiquito.com/
324,El Progreso,http://www.diarioelprogreso.com
325, El Siglo,http://www.elsiglo.com.ve/
326, English version,http://www.eluniversal.com/eng_index.shtml
327, La Nación en la Red,http://www.lanacion.com.ve/
328,La Verdad,http://www.laverdad.com/
329, Meridiano,http://www.meridiano.com.ve/
330,Noticias 24,http://www.noticias24.com/
331, Notitarde,http://www.notitarde.com/
332,Quinto Día,http://www.quintodia.net/
333, Panorama,http://www.panodi.com
334, Tal Cual,http://www.talcualdigital.com/
335,Ultima Hora Digital,http://www.ultimahoradigital.com/
336,Últimas  Noticias,http://www.ultimasnoticias.com.ve/
337,Venezuelanalysis.com,http://www.venezuelanalysis.com/
338,Agencia EFE,http://www.efe.es/
339,BBC in Portuguese,http://www.bbc.co.uk/portuguese/
340,BBC in Spanish,http://news.bbc.co.uk/hi/spanish/news/
341,Editor & Publisher,http://www.editorandpublisher.com/
342,El Pais Digital,http://www.elpais.es/
343,Inter Press Service,http://www.ips.org/
344,World news guide,http://www.guardian.co.uk/worldnewsguide/
345,World Press Review,http://www.worldpress.org/americas.htm
346, Al Dia,http://news.aldiainc.com/
347,Al DiaTx,http://www.aldiatx.com/
348,Azteca 21,http://www.azteca21.com/
349,Diario La Estrella,http://www.diariolaestrella.com/
350,Diario Las Americas,http://www.diariolasamericas.com/
351,Dos Mundos/TwoWorlds,http://www.dosmundos.com/
352,El Diario/La Prensa,http://www.eldiariony.com/
353,El Lider USA,http://www.elliderusa.com
354,El Nuevo Herald,http://www.elnuevoherald.com/
355,El Observador,http://www.el-observador.com/
356,El Pregonero,http://www.elpreg.org/
357,El Sentinel,http://www.orlandosentinel.com/elsentinel/
358,El Vocero Hispano,http://www.elvocerous.com/
359,Hispanos Unidos,http://www.hispanosnews.com
360,La Noticia,http://www.lanoticia.com
361,La Prensa San Diego,http://www.laprensa-sandiego.org/
362,La Raza,http://www.laraza.com/
363,La Tribuna Hispana-USA,http://www.tribunahispanausa.com/
364,Mundo Hispanico,http://www.mundohispanico.com/
365,Prensa Hispana,http://www.prensahispanaaz.com/
366,Siglo 21,http://www.siglo21.com/
367,El Ruinaversal,http://www.elruinaversal.com
368,Hay noticia,https://haynoticia.es
369,EL UNIVERSAL,http://www.eluniversal.com.mx
370,Lamula,https://redaccion.lamula.pe
371,Heraldo,https://www.heraldo.es
372,Excelsior,https://www.excelsior.com.mx
373,El país,https://elpais.com
374,Los replicantes,https://www.losreplicantes.com
375,Modonoticia,http://modonoticia.com
376,El Dizque,https://www.eldizque.com
377,Argumento Político,http://www.argumentopolitico.com
378,El Clarin,https://www.clarin.com
379,Todo Informe,http://todoinforme.com
380,Censura 0,http://censura0.com
381,Milenio,http://www.milenio.com
382,El librero de Gutenberg,https://gutenberg.rocks
383,Proceso,https://www.proceso.com.mx
384,CNN en español,https://cnnespanol.cnn.com
385,BBC,http://www.bbc.com
386,La vanguardia,http://www.lavanguardia.com
387,La voz popular,http://lavozpopular.com
388,HUFFPOST,https://www.huffingtonpost.es
389,CNNespañol,https://cnnespanol.cnn.com
390,Eje Central,http://www.ejecentral.com.mx
391,Aristegui noticias,https://aristeguinoticias.com
392,ABC Noticias,https://www.abcnoticias.mx
393,es diario,https://www.esdiario.com
394,PlayGroundMag,https://www.playgroundmag.net
395,Quien,https://www.quien.com
396,Modo Noticia,http://modonoticia.com
397,El Mañana,http://www.elmanana.com.mx
398,CNN español,https://cnnespanol.cnn.com
399,Marca,http://www.marca.com
400,El mundo today,http://www.elmundotoday.com
401,MVS noticias,http://www.mvsnoticias.com
402,Forbes,https://www.forbes.com.mx
403,ABC,https://www.abc.es
404,Diario de Ibiza,https://www.diariodeibiza.es
405,Nación Unida,https://nacionunida.com
406,BBC News,http://www.bbc.com
407,Animal Politico ,https://www.animalpolitico.com
408,Tiempo,http://www.tiempo.com.mx
409,Facebook Unico Noticias,https://www.facebook.com
410,Hipertextual,https://hipertextual.com
411,La Parada Digital,https://www.laparadadigital.com
412,Merca2.0,https://www.merca20.com
413,Rey Misterios,http://www.reymisterios.com
414,Diario del Huila,https://www.diariodelhuila.com
415,Konbini,http://www.konbini.com
416,Expansión,https://expansion.mx
417,Uno Cero,https://www.unocero.com
418,El financiero,http://www.elfinanciero.com.mx
419,Publimetro,https://www.publimetro.cl
420,Twitter-SIMMSA,https://twitter.com
421,La otra opinion,http://www.argumentopolitico.com
422,denunciasmx.com,http://www.denunciasmx.com
423,Tiempo Digital,https://tiempo.hn
424,20 Minutos,https://amp.20minutos.es
425,El coleccionista de datos,http://www.elcolombiano.com
426,Su Medico,https://sumedico.com
427,enpareja.com,https://www.enpareja.com
428,Eco Portal,https://www.ecoportal.net
429,La Opinion ,https://laopinion.com
430,El Nuevo Dia,https://www.elnuevodia.com
431,ABC sociedad,http://www.abc.es
432,Inciclopedia,http://inciclopedia.wikia.com
433,SDP Noticias,https://www.sdpnoticias.com
434,El Sol de México,https://www.elsoldemexico.com.mx
435,El UNIVERSAL,http://www.eluniversal.com.mx
436,El Pais,https://elpais.com
437,Record,http://www.record.com.mx
438,Aristegui Noticias,https://aristeguinoticias.com
439,Universo Deportivo,http://www.universodeportivo.mx
440,Azteca Deporte,http://www.aztecaDeporte.com
441,El Economista,https://www.eleconomista.com.mx
442,Medio Tiempo,http://www.mediotiempo.com
443,Clarin,https://www.clarin.com
444,Retroceso,https://retroceso.com
445,El economista,http://www.eleconomista.es
446,Jornada,https://www.jornada.com.mx
447,Animal Político,https://www.animalpolitico.com
448,Parabólica,http://www.parabolica.mx
449,EL MUNDO TODAY,http://www.elmundotoday.com
450,The New York Times,https://www.nytimes.com
451,El milenio,http://www.milenio.com
452,noticieros televisa,https://noticieros.televisa.com
453,Frentes Politicos,http://www.frentespoliticos.com.mx
454,Modo noticia,http://modonoticia.com
455,Exclusivas Puebla,http://exclusivaspuebla.com.mx
456,Lo que calla la TV,https://locallalatv.com
457,carlosagaton.blogspot.com,https://carlosagaton.blogspot.com
458,Razon,https://www.razon.com.mx
459,HispanTV,https://www.hispantv.com
460,Resumen Latinoamericano,http://www.resumenlatinoamericano.org
461,Heraldo de México,https://heraldodemexico.com.mx
462,twitter - Calderon,https://twitter.com
463,twitter,https://twitter.com
464,PAN tweet,https://twitter.com
465,Denuncias MX,http://www.denunciasmx.com
466,mvs noticias,http://www.mvsnoticias.com
467,Tribuna Noticias ,https://www.tribunanoticias.mx
468,ANONYMOUS  AZTECA,http://www.anonymouzazteca.com
469,La Voz Popular,http://lavozpopular.com
470,twitter -Ricardo Aleman,https://twitter.com
471,Fisgon Politico,https://fisgonpolitico.com
472,twitter-Rafael Ramirez,https://twitter.com
473,Facebook /El señor López,https://www.facebook.com
474,Animal político,https://www.animalpolitico.com
475,Nippon,https://www.nippon.com
476,La neta virtual,http://www.lanetavirtual.mx
477,Alerta digital,http://www.alertadigital.com
478,Twitter-Calderon,https://twitter.com
479,Dos Mundos,http://dosmundos.com
480,Hola México,https://mx.hola.com
481,Telemundo,http://www.telemundo.com
482,Sabor a merengue,http://saboramerengue.com
483,HOLA,https://www.quien.com
484,El heraldo,http://www.elheraldo.hn
485,Caras,https://www.caras.com.mx
486,People en Español,http://peopleenespanol.com
487,TV notas ,http://www.tvnotas.com.mx
488,El Grafico,http://www.elgrafico.mx
489,Caracol Radio,http://caracol.com.co
490,Nacion321,http://www.nacion321.com
491,abc,https://www.abc.es
492,Radio Formula,http://www.radioformula.com.mx
